text,label
"You suck!",1
"I hate this app",1
"Have a nice day!",0
"Welcome dear",0
"You're stupid",1
"Great work team",0
"Absolutely terrible service!",1
"Love this community!",0
"This government is corrupt",1
"I despise these politicians",1
"Your opinion is garbage",1
"Thank you so much!",0
"This policy is ridiculous",1
"You're an idiot",1
"I appreciate your support",0
"Useless and pathetic",1
"Bless you and your family",0
"I love how clean this app is!",0
"This feature is complete trash",1
"Best decision I've made today",0
